run_name,eval_results_path,metrics_path,stored_n,recomputed_n,stored_accuracy_pct,recomputed_orig_acc_pct,accuracy_diff_pp,stored_consistency_pct,recomputed_consistency_pct,consistency_diff_pp,status
GRPO_ratio60,results/GRPO_ratio60/eval/eval_results.json,results/GRPO_ratio60/eval/metrics.json,449,449,83.51893095768375,83.51893095768375,0.0,83.07349665924276,83.07349665924276,0.0,ok
GRPO_ratio75,results/GRPO_ratio75/eval/eval_results.json,results/GRPO_ratio75/eval/metrics.json,449,449,85.30066815144765,85.30066815144765,0.0,85.74610244988864,85.74610244988864,0.0,ok
GRPO_ratio80,results/GRPO_ratio80/eval/eval_results.json,results/GRPO_ratio80/eval/metrics.json,449,449,87.75055679287304,87.75055679287304,0.0,80.17817371937639,80.17817371937639,0.0,ok
GRPO_ratio90,results/GRPO_ratio90/eval/eval_results.json,results/GRPO_ratio90/eval/metrics.json,449,449,88.64142538975501,88.64142538975501,0.0,76.61469933184856,76.61469933184856,0.0,ok
GRPO_ratio95,results/GRPO_ratio95/eval/eval_results.json,results/GRPO_ratio95/eval/metrics.json,449,449,87.08240534521158,87.08240534521158,0.0,77.9510022271715,77.9510022271715,0.0,ok
SFT_balanced,results/SFT_balanced/eval/eval_results.json,results/SFT_balanced/eval/metrics.json,449,449,91.31403118040089,91.31403118040089,0.0,87.08240534521158,87.08240534521158,0.0,ok
SFT_mistral7b_balanced,results/SFT_mistral7b_balanced/eval/eval_results.json,results/SFT_mistral7b_balanced/eval/metrics.json,449,449,92.20489977728286,92.20489977728286,0.0,84.85523385300668,84.85523385300668,0.0,ok
SFT_mistral7b_unbal,results/SFT_mistral7b_unbal/eval/eval_results.json,results/SFT_mistral7b_unbal/eval/metrics.json,449,449,100.0,100.0,0.0,0.0,0.0,0.0,ok
SFT_qwen3_8b_balanced,results/SFT_qwen3_8b_balanced/eval/eval_results.json,results/SFT_qwen3_8b_balanced/eval/metrics.json,449,449,87.75055679287304,87.75055679287304,0.0,88.8641425389755,88.8641425389755,0.0,ok
SFT_qwen3_8b_balanced_s2,results/SFT_qwen3_8b_balanced_s2/eval/eval_results.json,results/SFT_qwen3_8b_balanced_s2/eval/metrics.json,449,449,89.30957683741649,89.30957683741649,0.0,89.30957683741649,89.30957683741649,0.0,ok
SFT_qwen3_8b_unbal_s2,results/SFT_qwen3_8b_unbal_s2/eval/eval_results.json,results/SFT_qwen3_8b_unbal_s2/eval/metrics.json,449,449,100.0,100.0,0.0,0.0,0.0,0.0,ok
SFT_qwen3_8b_unbalanced,results/SFT_qwen3_8b_unbalanced/eval/eval_results.json,results/SFT_qwen3_8b_unbalanced/eval/metrics.json,449,449,100.0,100.0,0.0,0.0,0.0,0.0,ok
SFT_unbalanced,results/SFT_unbalanced/eval/eval_results.json,results/SFT_unbalanced/eval/metrics.json,449,449,100.0,100.0,0.0,0.0,0.0,0.0,ok
SFT_unbalanced_lr1e5,results/SFT_unbalanced_lr1e5/eval/eval_results.json,results/SFT_unbalanced_lr1e5/eval/metrics.json,449,449,100.0,100.0,0.0,0.6681514476614699,0.6681514476614699,0.0,ok
